id,date,country,store,product,num_sold
137,02/01/2010,Kenya,Discount Stickers,Kaggle Tiers,15
138,02/01/2010,Kenya,Discount Stickers,Kerneler,8
139,02/01/2010,Kenya,Discount Stickers,Kerneler Dark Mode,9
140,02/01/2010,Kenya,Stickers for Less,Holographic Goose,5
141,02/01/2010,Kenya,Stickers for Less,Kaggle,34
142,02/01/2010,Kenya,Stickers for Less,Kaggle Tiers,34
143,02/01/2010,Kenya,Stickers for Less,Kerneler,15
144,02/01/2010,Kenya,Stickers for Less,Kerneler Dark Mode,20
145,02/01/2010,Kenya,Premium Sticker Mart,Holographic Goose,6
146,02/01/2010,Kenya,Premium Sticker Mart,Kaggle,42
147,02/01/2010,Kenya,Premium Sticker Mart,Kaggle Tiers,38
148,02/01/2010,Kenya,Premium Sticker Mart,Kerneler,21
149,02/01/2010,Kenya,Premium Sticker Mart,Kerneler Dark Mode,23
150,02/01/2010,Norway,Discount Stickers,Holographic Goose,274
151,02/01/2010,Norway,Discount Stickers,Kaggle,1634
152,02/01/2010,Norway,Discount Stickers,Kaggle Tiers,1508
153,02/01/2010,Norway,Discount Stickers,Kerneler,799
154,02/01/2010,Norway,Discount Stickers,Kerneler Dark Mode,884
155,02/01/2010,Norway,Stickers for Less,Holographic Goose,475
156,02/01/2010,Norway,Stickers for Less,Kaggle,3545
157,02/01/2010,Norway,Stickers for Less,Kaggle Tiers,2784
158,02/01/2010,Norway,Stickers for Less,Kerneler,1537
159,02/01/2010,Norway,Stickers for Less,Kerneler Dark Mode,1907
160,02/01/2010,Norway,Premium Sticker Mart,Holographic Goose,643
161,02/01/2010,Norway,Premium Sticker Mart,Kaggle,3915
162,02/01/2010,Norway,Premium Sticker Mart,Kaggle Tiers,3482
163,02/01/2010,Norway,Premium Sticker Mart,Kerneler,1741
164,02/01/2010,Norway,Premium Sticker Mart,Kerneler Dark Mode,2050
165,02/01/2010,Singapore,Discount Stickers,Holographic Goose,146
166,02/01/2010,Singapore,Discount Stickers,Kaggle,857
167,02/01/2010,Singapore,Discount Stickers,Kaggle Tiers,792
168,02/01/2010,Singapore,Discount Stickers,Kerneler,410
169,02/01/2010,Singapore,Discount Stickers,Kerneler Dark Mode,468
170,02/01/2010,Singapore,Stickers for Less,Holographic Goose,268
171,02/01/2010,Singapore,Stickers for Less,Kaggle,1763
172,02/01/2010,Singapore,Stickers for Less,Kaggle Tiers,1689
173,02/01/2010,Singapore,Stickers for Less,Kerneler,781
174,02/01/2010,Singapore,Stickers for Less,Kerneler Dark Mode,971
175,02/01/2010,Singapore,Premium Sticker Mart,Holographic Goose,364
176,02/01/2010,Singapore,Premium Sticker Mart,Kaggle,2322
177,02/01/2010,Singapore,Premium Sticker Mart,Kaggle Tiers,1938
178,02/01/2010,Singapore,Premium Sticker Mart,Kerneler,1010
179,02/01/2010,Singapore,Premium Sticker Mart,Kerneler Dark Mode,1224
180,03/01/2010,Canada,Discount Stickers,Holographic Goose,
181,03/01/2010,Canada,Discount Stickers,Kaggle,1003
182,03/01/2010,Canada,Discount Stickers,Kaggle Tiers,839
183,03/01/2010,Canada,Discount Stickers,Kerneler,417
184,03/01/2010,Canada,Discount Stickers,Kerneler Dark Mode,495
185,03/01/2010,Canada,Stickers for Less,Holographic Goose,297
186,03/01/2010,Canada,Stickers for Less,Kaggle,1936
187,03/01/2010,Canada,Stickers for Less,Kaggle Tiers,1770
188,03/01/2010,Canada,Stickers for Less,Kerneler,832
189,03/01/2010,Canada,Stickers for Less,Kerneler Dark Mode,1087
190,03/01/2010,Canada,Premium Sticker Mart,Holographic Goose,338
191,03/01/2010,Canada,Premium Sticker Mart,Kaggle,2459
192,03/01/2010,Canada,Premium Sticker Mart,Kaggle Tiers,1938
193,03/01/2010,Canada,Premium Sticker Mart,Kerneler,1015
194,03/01/2010,Canada,Premium Sticker Mart,Kerneler Dark Mode,1188
195,03/01/2010,Finland,Discount Stickers,Holographic Goose,152
196,03/01/2010,Finland,Discount Stickers,Kaggle,1036
197,03/01/2010,Finland,Discount Stickers,Kaggle Tiers,815
198,03/01/2010,Finland,Discount Stickers,Kerneler,469
199,03/01/2010,Finland,Discount Stickers,Kerneler Dark Mode,531
200,03/01/2010,Finland,Stickers for Less,Holographic Goose,308
201,03/01/2010,Finland,Stickers for Less,Kaggle,1956
202,03/01/2010,Finland,Stickers for Less,Kaggle Tiers,1462
203,03/01/2010,Finland,Stickers for Less,Kerneler,877
204,03/01/2010,Finland,Stickers for Less,Kerneler Dark Mode,980
205,03/01/2010,Finland,Premium Sticker Mart,Holographic Goose,357
206,03/01/2010,Finland,Premium Sticker Mart,Kaggle,2349
207,03/01/2010,Finland,Premium Sticker Mart,Kaggle Tiers,1983
208,03/01/2010,Finland,Premium Sticker Mart,Kerneler,1018
209,03/01/2010,Finland,Premium Sticker Mart,Kerneler Dark Mode,1234
210,03/01/2010,Italy,Discount Stickers,Holographic Goose,122
211,03/01/2010,Italy,Discount Stickers,Kaggle,708
212,03/01/2010,Italy,Discount Stickers,Kaggle Tiers,593
213,03/01/2010,Italy,Discount Stickers,Kerneler,337
214,03/01/2010,Italy,Discount Stickers,Kerneler Dark Mode,398
215,03/01/2010,Italy,Stickers for Less,Holographic Goose,236
216,03/01/2010,Italy,Stickers for Less,Kaggle,1522
217,03/01/2010,Italy,Stickers for Less,Kaggle Tiers,1318
218,03/01/2010,Italy,Stickers for Less,Kerneler,654
219,03/01/2010,Italy,Stickers for Less,Kerneler Dark Mode,747
220,03/01/2010,Italy,Premium Sticker Mart,Holographic Goose,266
221,03/01/2010,Italy,Premium Sticker Mart,Kaggle,1680
222,03/01/2010,Italy,Premium Sticker Mart,Kaggle Tiers,1635
223,03/01/2010,Italy,Premium Sticker Mart,Kerneler,864
224,03/01/2010,Italy,Premium Sticker Mart,Kerneler Dark Mode,935
225,03/01/2010,Kenya,Discount Stickers,Holographic Goose,
226,03/01/2010,Kenya,Discount Stickers,Kaggle,19
227,03/01/2010,Kenya,Discount Stickers,Kaggle Tiers,16
228,03/01/2010,Kenya,Discount Stickers,Kerneler,8
229,03/01/2010,Kenya,Discount Stickers,Kerneler Dark Mode,10
230,03/01/2010,Kenya,Stickers for Less,Holographic Goose,5
231,03/01/2010,Kenya,Stickers for Less,Kaggle,38
232,03/01/2010,Kenya,Stickers for Less,Kaggle Tiers,33
233,03/01/2010,Kenya,Stickers for Less,Kerneler,17
234,03/01/2010,Kenya,Stickers for Less,Kerneler Dark Mode,20
235,03/01/2010,Kenya,Premium Sticker Mart,Holographic Goose,7
236,03/01/2010,Kenya,Premium Sticker Mart,Kaggle,48
237,03/01/2010,Kenya,Premium Sticker Mart,Kaggle Tiers,40
238,03/01/2010,Kenya,Premium Sticker Mart,Kerneler,20
239,03/01/2010,Kenya,Premium Sticker Mart,Kerneler Dark Mode,22
240,03/01/2010,Norway,Discount Stickers,Holographic Goose,267
241,03/01/2010,Norway,Discount Stickers,Kaggle,1753
242,03/01/2010,Norway,Discount Stickers,Kaggle Tiers,1582
243,03/01/2010,Norway,Discount Stickers,Kerneler,830
244,03/01/2010,Norway,Discount Stickers,Kerneler Dark Mode,879
245,03/01/2010,Norway,Stickers for Less,Holographic Goose,568
246,03/01/2010,Norway,Stickers for Less,Kaggle,3526
247,03/01/2010,Norway,Stickers for Less,Kaggle Tiers,2866
248,03/01/2010,Norway,Stickers for Less,Kerneler,1571
249,03/01/2010,Norway,Stickers for Less,Kerneler Dark Mode,1879
250,03/01/2010,Norway,Premium Sticker Mart,Holographic Goose,654
251,03/01/2010,Norway,Premium Sticker Mart,Kaggle,4541
252,03/01/2010,Norway,Premium Sticker Mart,Kaggle Tiers,3867
253,03/01/2010,Norway,Premium Sticker Mart,Kerneler,1971
254,03/01/2010,Norway,Premium Sticker Mart,Kerneler Dark Mode,2299
255,03/01/2010,Singapore,Discount Stickers,Holographic Goose,155
256,03/01/2010,Singapore,Discount Stickers,Kaggle,979
257,03/01/2010,Singapore,Discount Stickers,Kaggle Tiers,832
258,03/01/2010,Singapore,Discount Stickers,Kerneler,462
259,03/01/2010,Singapore,Discount Stickers,Kerneler Dark Mode,498
260,03/01/2010,Singapore,Stickers for Less,Holographic Goose,289
261,03/01/2010,Singapore,Stickers for Less,Kaggle,1801
262,03/01/2010,Singapore,Stickers for Less,Kaggle Tiers,1690
263,03/01/2010,Singapore,Stickers for Less,Kerneler,813
264,03/01/2010,Singapore,Stickers for Less,Kerneler Dark Mode,987
265,03/01/2010,Singapore,Premium Sticker Mart,Holographic Goose,388
266,03/01/2010,Singapore,Premium Sticker Mart,Kaggle,2253
267,03/01/2010,Singapore,Premium Sticker Mart,Kaggle Tiers,2315
268,03/01/2010,Singapore,Premium Sticker Mart,Kerneler,1040
269,03/01/2010,Singapore,Premium Sticker Mart,Kerneler Dark Mode,1314
270,04/01/2010,Canada,Discount Stickers,Holographic Goose,
271,04/01/2010,Canada,Discount Stickers,Kaggle,744
272,04/01/2010,Canada,Discount Stickers,Kaggle Tiers,609
273,04/01/2010,Canada,Discount Stickers,Kerneler,339
274,04/01/2010,Canada,Discount Stickers,Kerneler Dark Mode,441
275,04/01/2010,Canada,Stickers for Less,Holographic Goose,235
276,04/01/2010,Canada,Stickers for Less,Kaggle,1382
277,04/01/2010,Canada,Stickers for Less,Kaggle Tiers,1243
278,04/01/2010,Canada,Stickers for Less,Kerneler,646
279,04/01/2010,Canada,Stickers for Less,Kerneler Dark Mode,778
280,04/01/2010,Canada,Premium Sticker Mart,Holographic Goose,277
281,04/01/2010,Canada,Premium Sticker Mart,Kaggle,1714
282,04/01/2010,Canada,Premium Sticker Mart,Kaggle Tiers,1567
283,04/01/2010,Canada,Premium Sticker Mart,Kerneler,802
284,04/01/2010,Canada,Premium Sticker Mart,Kerneler Dark Mode,1046
285,04/01/2010,Finland,Discount Stickers,Holographic Goose,113
286,04/01/2010,Finland,Discount Stickers,Kaggle,677
287,04/01/2010,Finland,Discount Stickers,Kaggle Tiers,664
288,04/01/2010,Finland,Discount Stickers,Kerneler,356
289,04/01/2010,Finland,Discount Stickers,Kerneler Dark Mode,399
290,04/01/2010,Finland,Stickers for Less,Holographic Goose,239
291,04/01/2010,Finland,Stickers for Less,Kaggle,1446
292,04/01/2010,Finland,Stickers for Less,Kaggle Tiers,1316
293,04/01/2010,Finland,Stickers for Less,Kerneler,683
294,04/01/2010,Finland,Stickers for Less,Kerneler Dark Mode,765
295,04/01/2010,Finland,Premium Sticker Mart,Holographic Goose,295
296,04/01/2010,Finland,Premium Sticker Mart,Kaggle,1705
297,04/01/2010,Finland,Premium Sticker Mart,Kaggle Tiers,1577
298,04/01/2010,Finland,Premium Sticker Mart,Kerneler,769
299,04/01/2010,Finland,Premium Sticker Mart,Kerneler Dark Mode,931
300,04/01/2010,Italy,Discount Stickers,Holographic Goose,91
301,04/01/2010,Italy,Discount Stickers,Kaggle,538
302,04/01/2010,Italy,Discount Stickers,Kaggle Tiers,512
303,04/01/2010,Italy,Discount Stickers,Kerneler,250
304,04/01/2010,Italy,Discount Stickers,Kerneler Dark Mode,293
305,04/01/2010,Italy,Stickers for Less,Holographic Goose,187
306,04/01/2010,Italy,Stickers for Less,Kaggle,1154
307,04/01/2010,Italy,Stickers for Less,Kaggle Tiers,1009
308,04/01/2010,Italy,Stickers for Less,Kerneler,535
309,04/01/2010,Italy,Stickers for Less,Kerneler Dark Mode,578
310,04/01/2010,Italy,Premium Sticker Mart,Holographic Goose,213
311,04/01/2010,Italy,Premium Sticker Mart,Kaggle,1288
312,04/01/2010,Italy,Premium Sticker Mart,Kaggle Tiers,1226
313,04/01/2010,Italy,Premium Sticker Mart,Kerneler,574
314,04/01/2010,Italy,Premium Sticker Mart,Kerneler Dark Mode,697
315,04/01/2010,Kenya,Discount Stickers,Holographic Goose,
316,04/01/2010,Kenya,Discount Stickers,Kaggle,14
317,04/01/2010,Kenya,Discount Stickers,Kaggle Tiers,12
318,04/01/2010,Kenya,Discount Stickers,Kerneler,6
319,04/01/2010,Kenya,Discount Stickers,Kerneler Dark Mode,8
320,04/01/2010,Kenya,Stickers for Less,Holographic Goose,
321,04/01/2010,Kenya,Stickers for Less,Kaggle,30
322,04/01/2010,Kenya,Stickers for Less,Kaggle Tiers,28
323,04/01/2010,Kenya,Stickers for Less,Kerneler,12
324,04/01/2010,Kenya,Stickers for Less,Kerneler Dark Mode,16
325,04/01/2010,Kenya,Premium Sticker Mart,Holographic Goose,5
326,04/01/2010,Kenya,Premium Sticker Mart,Kaggle,37
327,04/01/2010,Kenya,Premium Sticker Mart,Kaggle Tiers,31
328,04/01/2010,Kenya,Premium Sticker Mart,Kerneler,15
329,04/01/2010,Kenya,Premium Sticker Mart,Kerneler Dark Mode,18
330,04/01/2010,Norway,Discount Stickers,Holographic Goose,228
331,04/01/2010,Norway,Discount Stickers,Kaggle,1216
332,04/01/2010,Norway,Discount Stickers,Kaggle Tiers,1316
333,04/01/2010,Norway,Discount Stickers,Kerneler,550
334,04/01/2010,Norway,Discount Stickers,Kerneler Dark Mode,767
335,04/01/2010,Norway,Stickers for Less,Holographic Goose,445
336,04/01/2010,Norway,Stickers for Less,Kaggle,2851
337,04/01/2010,Norway,Stickers for Less,Kaggle Tiers,2627
338,04/01/2010,Norway,Stickers for Less,Kerneler,1246
339,04/01/2010,Norway,Stickers for Less,Kerneler Dark Mode,1532
340,04/01/2010,Norway,Premium Sticker Mart,Holographic Goose,496
341,04/01/2010,Norway,Premium Sticker Mart,Kaggle,3303
342,04/01/2010,Norway,Premium Sticker Mart,Kaggle Tiers,2913
343,04/01/2010,Norway,Premium Sticker Mart,Kerneler,1460
344,04/01/2010,Norway,Premium Sticker Mart,Kerneler Dark Mode,1816
345,04/01/2010,Singapore,Discount Stickers,Holographic Goose,123
346,04/01/2010,Singapore,Discount Stickers,Kaggle,766
347,04/01/2010,Singapore,Discount Stickers,Kaggle Tiers,668
348,04/01/2010,Singapore,Discount Stickers,Kerneler,329
349,04/01/2010,Singapore,Discount Stickers,Kerneler Dark Mode,385
350,04/01/2010,Singapore,Stickers for Less,Holographic Goose,256
351,04/01/2010,Singapore,Stickers for Less,Kaggle,1543
352,04/01/2010,Singapore,Stickers for Less,Kaggle Tiers,1205
353,04/01/2010,Singapore,Stickers for Less,Kerneler,602
354,04/01/2010,Singapore,Stickers for Less,Kerneler Dark Mode,839
355,04/01/2010,Singapore,Premium Sticker Mart,Holographic Goose,269
356,04/01/2010,Singapore,Premium Sticker Mart,Kaggle,1760
357,04/01/2010,Singapore,Premium Sticker Mart,Kaggle Tiers,1656
358,04/01/2010,Singapore,Premium Sticker Mart,Kerneler,846
359,04/01/2010,Singapore,Premium Sticker Mart,Kerneler Dark Mode,927
360,05/01/2010,Canada,Discount Stickers,Holographic Goose,
361,05/01/2010,Canada,Discount Stickers,Kaggle,707
362,05/01/2010,Canada,Discount Stickers,Kaggle Tiers,640
363,05/01/2010,Canada,Discount Stickers,Kerneler,290
364,05/01/2010,Canada,Discount Stickers,Kerneler Dark Mode,372
365,05/01/2010,Canada,Stickers for Less,Holographic Goose,240
366,05/01/2010,Canada,Stickers for Less,Kaggle,1416
367,05/01/2010,Canada,Stickers for Less,Kaggle Tiers,1319
368,05/01/2010,Canada,Stickers for Less,Kerneler,612
369,05/01/2010,Canada,Stickers for Less,Kerneler Dark Mode,772
370,05/01/2010,Canada,Premium Sticker Mart,Holographic Goose,287
371,05/01/2010,Canada,Premium Sticker Mart,Kaggle,1593
372,05/01/2010,Canada,Premium Sticker Mart,Kaggle Tiers,1590
373,05/01/2010,Canada,Premium Sticker Mart,Kerneler,773
374,05/01/2010,Canada,Premium Sticker Mart,Kerneler Dark Mode,894
375,05/01/2010,Finland,Discount Stickers,Holographic Goose,116
376,05/01/2010,Finland,Discount Stickers,Kaggle,782
377,05/01/2010,Finland,Discount Stickers,Kaggle Tiers,608
378,05/01/2010,Finland,Discount Stickers,Kerneler,299
379,05/01/2010,Finland,Discount Stickers,Kerneler Dark Mode,364
380,05/01/2010,Finland,Stickers for Less,Holographic Goose,227
381,05/01/2010,Finland,Stickers for Less,Kaggle,1533
382,05/01/2010,Finland,Stickers for Less,Kaggle Tiers,1233
383,05/01/2010,Finland,Stickers for Less,Kerneler,607
384,05/01/2010,Finland,Stickers for Less,Kerneler Dark Mode,888
385,05/01/2010,Finland,Premium Sticker Mart,Holographic Goose,290
386,05/01/2010,Finland,Premium Sticker Mart,Kaggle,1611
387,05/01/2010,Finland,Premium Sticker Mart,Kaggle Tiers,1515
388,05/01/2010,Finland,Premium Sticker Mart,Kerneler,720
389,05/01/2010,Finland,Premium Sticker Mart,Kerneler Dark Mode,941
390,05/01/2010,Italy,Discount Stickers,Holographic Goose,77
391,05/01/2010,Italy,Discount Stickers,Kaggle,550
392,05/01/2010,Italy,Discount Stickers,Kaggle Tiers,446
393,05/01/2010,Italy,Discount Stickers,Kerneler,238
394,05/01/2010,Italy,Discount Stickers,Kerneler Dark Mode,285
395,05/01/2010,Italy,Stickers for Less,Holographic Goose,180
396,05/01/2010,Italy,Stickers for Less,Kaggle,1147
397,05/01/2010,Italy,Stickers for Less,Kaggle Tiers,1036
398,05/01/2010,Italy,Stickers for Less,Kerneler,510
399,05/01/2010,Italy,Stickers for Less,Kerneler Dark Mode,580
400,05/01/2010,Italy,Premium Sticker Mart,Holographic Goose,225
401,05/01/2010,Italy,Premium Sticker Mart,Kaggle,1421
402,05/01/2010,Italy,Premium Sticker Mart,Kaggle Tiers,1150
403,05/01/2010,Italy,Premium Sticker Mart,Kerneler,572
404,05/01/2010,Italy,Premium Sticker Mart,Kerneler Dark Mode,753
405,05/01/2010,Kenya,Discount Stickers,Holographic Goose,
406,05/01/2010,Kenya,Discount Stickers,Kaggle,15
407,05/01/2010,Kenya,Discount Stickers,Kaggle Tiers,12
408,05/01/2010,Kenya,Discount Stickers,Kerneler,6
409,05/01/2010,Kenya,Discount Stickers,Kerneler Dark Mode,7
410,05/01/2010,Kenya,Stickers for Less,Holographic Goose,
411,05/01/2010,Kenya,Stickers for Less,Kaggle,29
412,05/01/2010,Kenya,Stickers for Less,Kaggle Tiers,26
413,05/01/2010,Kenya,Stickers for Less,Kerneler,12
414,05/01/2010,Kenya,Stickers for Less,Kerneler Dark Mode,16
415,05/01/2010,Kenya,Premium Sticker Mart,Holographic Goose,5
416,05/01/2010,Kenya,Premium Sticker Mart,Kaggle,34
417,05/01/2010,Kenya,Premium Sticker Mart,Kaggle Tiers,30
418,05/01/2010,Kenya,Premium Sticker Mart,Kerneler,16
419,05/01/2010,Kenya,Premium Sticker Mart,Kerneler Dark Mode,18
420,05/01/2010,Norway,Discount Stickers,Holographic Goose,206
421,05/01/2010,Norway,Discount Stickers,Kaggle,1348
422,05/01/2010,Norway,Discount Stickers,Kaggle Tiers,1117
